model_type,accuracy,precision,recall,f1,roc_auc,recall_std,alpha,binarize,var_smoothing,norm
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7266056575881812,0.0037880768210783212,1.370909090909091,0.631578947368421,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681034,0.0037779216506808257,,,2.782559402207126e-08,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7264527743486019,0.0037880768210783212,2.4797979797979797,0.0,,
bernoulli,0.49838774920543194,0.0,0.0,0.0,0.5,0.0,1.8245454545454547,1.0,,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7266462212797193,0.0037880768210783212,2.227777777777778,0.894736842105263,,
gaussian,0.6114764518925165,0.5671879458822089,0.9517763541013613,0.7107904365993007,0.6569485239142288,0.0037779216506808257,,,4.641588833612772e-05,
complement,0.691534238659347,0.6445485294617476,0.8585318883286078,0.736305191802795,0.7675117052458101,0.003597981664086003,2.8830303030303033,,,False
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.7265887765362652,0.003793391698946892,4.647171717171718,0.7368421052631579,,
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.7264713811848124,0.003793391698946892,3.7903030303030305,0.15789473684210525,,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.726658491367369,0.0037880768210783212,0.8164646464646466,0.8421052631578947,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569028055897483,0.0037779216506808257,,,3.5938136638046254e-07,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681024,0.0037779216506808257,,,7.742636826811278e-12,
complement,0.6915457960127129,0.6445644743739697,0.8585088495081955,0.7363071761285551,0.7675757592290091,0.003589041064741671,1.1692929292929295,,,False
gaussian,0.6114302224790523,0.5671581570829514,0.951753315280949,0.7107607988993727,0.6571147658620203,0.003687043170238323,,,0.00046415888336127724,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7265677252982246,0.0037880768210783212,1.8245454545454547,0.47368421052631576,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681024,0.0037779216506808257,,,1e-10,
complement,0.691534238659347,0.6445485294617476,0.8585318883286078,0.736305191802795,0.767524846236795,0.003597981664086003,2.53020202020202,,,False
bernoulli,0.49838774920543194,0.0,0.0,0.0,0.5,0.0,0.3124242424242425,1.0,,
