modelo,fonte,accuracy,precision,recall,f1,roc_auc,hiperparametros,validacao,pr_auc,tn_mean,threshold_mean
Regressão Logística,final_comparison.csv (pré-auditoria),0.7537918097460687,0.7542045896610456,0.999115875551387,0.8595547762815162,,notebooks originais,5-fold CV notebooks,,,
Naive Bayes,final_comparison.csv (pré-auditoria),0.575036116729269,0.5426022867342918,0.9731118147211693,0.6967173376846999,,notebooks originais,5-fold CV notebooks,,,
Rede Neural (MLP 1 camada + SGD),final_comparison.csv (pré-auditoria),0.8104609990553981,0.8382609415407515,0.9341773133832574,0.8819603699528684,,notebooks originais,5-fold CV notebooks,,,
SVM (Support Vector Machine),final_comparison.csv (pré-auditoria),0.8124938934266822,0.8857480385119688,0.8626116036754254,0.8740218859365368,,notebooks originais,5-fold CV notebooks,,,
Árvore de Decisão,final_comparison.csv (pré-auditoria),0.8325537282935471,0.9513443989781096,0.8201159030143209,0.8806612696097886,,notebooks originais,5-fold CV notebooks,,,
Sempre Majoritário,audited_comparison.csv (pós-auditoria),0.5,0.5,1.0,0.6666666666666666,0.5,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.5,0.0,0.5
Sempre Positivo,audited_comparison.csv (pós-auditoria),0.5,0.5,1.0,0.6666666666666666,0.5,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.5,0.0,0.5
SVM,audited_comparison.csv (pós-auditoria),0.7962,0.8106323564367255,0.7732666666666667,0.7913893898146729,0.8218078777777776,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.8097454856772867,2457.4,0.374
Árvore de Decisão,audited_comparison.csv (pós-auditoria),0.8004333333333333,0.8240086915764351,0.7684666666666666,0.7933903370096558,0.8691956444444443,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.8608352360917593,2497.2,0.5525
Rede Neural,audited_comparison.csv (pós-auditoria),0.7998333333333333,0.8306915378730318,0.7536,0.7901187733393138,0.8690976777777777,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.8825764542690674,2538.2,0.5225000000000001
Regressão Logística,audited_comparison.csv (pós-auditoria),0.6600666666666667,0.7337424817583565,0.5033333333333333,0.5964062084925866,0.6985193,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.6963193452115154,2450.4,0.5075000000000001
Naive Bayes,audited_comparison.csv (pós-auditoria),0.5189333333333334,0.84053361478941,0.0467999999999999,0.0885788302542543,0.5926918666666666,evaluator.py get_model_specs(),5-fold CV auditado + Youden J,0.5965594689862587,2973.2,0.5
Rede Neural,resultados_rede_neural_5fold.csv,0.8104609990553981,0.8382609415407515,0.9341773133832574,0.8819603699528684,,"MLP 64, ReLU, SGD",5-fold notebook,,,
